text,label
What is the process for a product exchange?,order_id_status
How do I use Apple Music Fitness+?,product_setup
Can I request a signature confirmation for my delivery?,order_id_status
How do I fix a slow iPhone?,product_setup
Please guide me on setting up Siri on my iPhone.,product_setup
My MacBook's trackpad isn't working. How can I fix it?,product_setup
How can I transfer my data from my old iPhone to my new one?,product_setup
How do I set up the App Store on my iPhone?,product_setup
"The AirPods (3rd generation) are a good value for the price, but they lack some features of the AirPods Pro.",feedback
What is the estimated delivery time for international orders?,order_id_status
"The iPhone XS Max is a great phone, but it's very expensive.",feedback
Can you help me set up a new Apple ID?,product_setup
Can I modify a pre-order?,order_id_status
What is the process for a replacement order?,order_id_status
How do I use Apple Podcasts?,product_setup
"Apple's ecosystem is convenient, but it can be limiting.",feedback
Could you explain how to set up HomeKit on my HomePod?,product_setup
How do I use Apple Fitness+?,product_setup
Can I split my order into multiple shipments?,order_id_status
"Apple customer service is great, but it can be difficult to reach a real person.",feedback
i would like to know the status of Order Id 980056289,order_id_status
Order id 123456192 in transit,order_id_status
I ordered the wrong item. How do I return it?,order_id_status
"Apple products are a status symbol, but they are also functional.",feedback
"The MacBook Air is a great laptop for students and casual users, but it's not as powerful as the MacBook Pro.",feedback
How do I use Apple Wallet?,product_setup
My AirPods won't connect to my iPhone. How do I fix it?,product_setup
Can I remove items from my order?,order_id_status
How do I connect my iPhone to Wi-Fi and Bluetooth?,product_setup
How can I set up Apple Pay?,product_setup
who deliverd my Order # 120001112,order_id_status
status of my Order # 164256709,order_id_status
"The Mac Studio is a powerful machine, but it's very expensive.",feedback
What is the status of my subscription order?,order_id_status
What's the process to set up my email account on my iPhone?,product_setup
How do I use Apple Arcade?,product_setup
The iPhone 12's ceramic shield is fragile.,feedback
"Apple products are well-designed and high-quality, but they are expensive.",feedback
How do I use Apple TV+?,product_setup
My iPad won't connect to Wi-Fi. What can I do?,product_setup
"The AirPods Pro are amazing for noise cancellation, but they can be uncomfortable for long periods.",feedback
"The iPhone X is a great phone, but the battery life could be better.",feedback
The Apple Store is well-stocked and organized.,feedback
How do I set up Touch ID on my iPhone?,product_setup
When will my credit card be charged?,order_id_status
How do I use Apple Podcasts?,product_setup
How do I use Siri?,product_setup
What is the tracking number for my order?,order_id_status
How do I use Apple Fitness+?,product_setup
The return process is easy and hassle-free.,feedback
When can I expect my order to be delivered?,order_id_status
How do I use Apple TV+?,product_setup
The Apple Watch Ultra is a rugged and durable smartwatch.,feedback
What is the reason for the delay in my order?,order_id_status
"Apple products are innovative and cutting-edge, but they can be complex to use.",feedback
"Apple products are well-designed and aesthetically pleasing, but they can be expensive.",feedback
The Apple online store is easy to navigate and user-friendly.,feedback
The iPad Pro is perfect for work and entertainment.,feedback
My iPhone's date and time settings are incorrect. What should I do?,product_setup
How do I use Apple Books?,product_setup
My MacBook's keyboard isn't working. What should I do?,product_setup
Can I get a delivery confirmation email?,order_id_status
How do I use Apple Card?,product_setup
What are the steps to set up iCloud?,product_setup
How do I use Apple Music Fitness+?,product_setup
How do I use iTunes on my computer?,product_setup
How do I set up my calendar on my iPhone?,product_setup
How do I set up my new HomePod?,product_setup
Can I change the shipping address for my order?,order_id_status
"Apple products are reliable and durable, but they can be expensive to repair.",feedback
How do I set up the Clock app on my iPhone?,product_setup
What are the customs duties and taxes for international orders?,order_id_status
What is the process for a product recall or safety notice?,order_id_status
How do I use Apple TV+?,product_setup
My iPhone is stuck on the Apple logo.,product_setup
How can I connect my AirPods to my MacBook?,product_setup
status of my order # 213456739 ,order_id_status
My iPhone's microphone is not working properly. What should I do?,product_setup
How do I use Apple Card?,product_setup
How do I use Apple Maps?,product_setup
"Apple products are reliable, but they can be expensive to repair.",feedback
My iPhone won't turn on. What should I do?,product_setup
My iPhone's Bluetooth is not working properly. What should I do?,product_setup
Can I get a discount on pre-orders?,order_id_status
My iPhone is stuck on the Apple logo. How do I fix it?,product_setup
How do I troubleshoot Bluetooth connectivity issues?,product_setup
Overall feedback of the purchase process is smooth,feedback
"Apple products are innovative, but they can be ahead of their time.",feedback
The iPhone SE (3rd generation) lacks advanced features.,feedback
"The iPad mini is a great portable tablet, but the screen is small.",feedback
How do I use Apple TV+?,product_setup
"The Magic Trackpad is a great trackpad, but it's expensive.",feedback
what is your feedback on the product ? would you like to recommend it ?,feedback
"the camera does very well, but the zoom feature can be improved.",feedback
When will I receive a refund for my returned item?,order_id_status
What is the estimated processing time for a custom order?,order_id_status
How do I use Apple TV+?,product_setup
The estimated delivery time is usually accurate.,feedback
How do I use Apple Music?,product_setup
How do I send messages using the Messages app?,product_setup
When will I receive a refund for my returned item?,order_id_status
What is the status of my pre-order?,order_id_status
How do I use Apple Maps?,product_setup
The iPhone 14 has a lower resolution display than the previous model.,feedback
Can I get a discount for bulk orders?,order_id_status
How do I use Apple Fitness+?,product_setup
How do I set up my new MacBook?,product_setup
How do I use Apple Pay Cash?,product_setup
What are the customs duties and taxes for international orders?,order_id_status
How do I use Apple Maps?,product_setup
How do I set up iCloud backup?,product_setup
How do I use Apple Music Fitness+?,product_setup
The MacBook Air M2 gets hot under heavy load.,feedback
"The Apple TV 4K is a fantastic streaming device, but the remote could be better designed.",feedback
What is the return policy for clearance items?,order_id_status
How do I use Apple Fitness+?,product_setup
How do I use Apple News+?,product_setup
How do I use Apple Arcade?,product_setup
"The Mac mini is a great compact computer, but it requires external peripherals.",feedback
How do I use Apple Music?,product_setup
Can I get a refund for a delayed order?,order_id_status
How do I initiate a return?,order_id_status
How do I track the status of my return?,order_id_status
My iPhone's camera is not working properly. What should I do?,product_setup
What is the return shipping address?,order_id_status
